,principal component 1,principal component 2,rating_five_count
683,-0.6489147176235238,-1.3274713005951073,27
684,-0.6574834700118588,-0.7590787661191325,9
685,-0.1344740340250099,-0.21669751681797636,213
686,0.3744007482291034,0.46486906770038944,373
687,0.39793000616186,2.9384816869314916,584
688,0.9830898109311118,0.14461183061735777,1222
689,-0.6642544392067106,-1.2573769269966522,4
690,-0.15551849470402931,3.6568240332993027,237
691,-0.3377757610111346,0.5681069537929577,304
692,1.5109009341073332,0.9104850277037728,863
693,-0.6475251603074996,-0.8634138390789413,16
694,-0.6500989218460914,-0.956340471944543,22
695,0.2024520625625499,0.17384816427804808,669
696,-0.6288807125211597,-0.503773976052766,22
697,-0.539894123641533,-0.9612602009510891,80
698,-0.6653541754451942,-0.7355467395896974,1
699,-0.4879012556724309,-0.3935526283756294,145
700,-0.5706165205271705,0.19891745100111596,23
701,-0.4512056122807559,1.8765601592083039,4
702,-0.5636977282385657,-0.5898735431569594,44
703,0.4080312791739429,0.3482940226909655,431
704,-0.6566406371413547,-1.38512849074364,5
705,-0.6653337740547887,-1.1533463486263875,4
706,0.5747598993839083,0.17246904480048666,660
707,-0.6305446702837977,0.6673417204716056,21
708,1.6275127753373346,-0.5697003984938881,2091
709,-0.4868322025361866,2.4670865878716106,16
710,-0.18508434350954175,0.3754094502259659,135
711,-0.397140444291503,3.4181629852478173,76
712,-0.6509053375913081,0.20349882533391406,6
713,-0.48840119406756,2.7452660259975175,20
714,-0.527112147862056,-0.17269202572450673,86
715,-0.6516349956679037,0.20350707788693223,5
716,0.04436975685029283,-0.10040898630947499,342
717,0.47708262327843853,0.6855359098332245,439
718,-0.5364147692267229,-1.262700181228961,81
719,-0.4805775275852967,0.5823998356446832,55
720,-0.5171643364048771,0.7666085184705393,90
721,2.242025044034891,5.666903233421514,1342
722,-0.12955357201965273,-0.7850487885288595,226
723,0.02905734253222274,-0.41572526898929185,440
724,0.796374100991251,-1.0131065605354097,981
725,-0.6516349956679037,0.20350707788693223,5
726,-0.5447378279782691,-1.5527399739656444,82
727,-0.48863091374902645,-0.3935443758226111,144
728,-0.5375180048809338,-0.39299145477038844,77
729,-0.5680868864293291,-1.5524758922690605,50
730,-0.09014082615229854,0.17715743803836578,268
731,1.8970260748850298,0.3258500329643324,1417
732,-0.6683747695170106,-0.38747081916334664,0
